cashInLimit,totalCashOutTimes,totalCashInTimes,cashOutAmount,cashInAmount,amountRemain,date,time
20000,22,25,23959,20658,16699,2019-01-06,03:17
20000,27,17,30619,21167,10548,2019-01-06,03:16
20000,16,35,15191,41269,46078,2019-01-06,03:15
20000,14,0,17768,0,2232,2019-01-06,03:14
20000,45,43,46398,37705,11307,2019-01-06,03:13
20000,22,16,17528,15271,17743,2019-01-06,03:12
20000,13,27,12260,26247,33987,2019-01-06,03:11
20000,44,2,48321,580,-27741,2019-01-06,03:10
20000,44,47,48756,48626,19870,2019-01-06,03:09
20000,14,4,12665,1629,8964,2019-01-06,03:08
20000,4,7,2904,7619,24715,2019-01-06,03:07
20000,42,11,42354,13301,-9053,2019-01-06,03:06
20000,23,3,23376,1923,-1453,2019-01-06,03:05
20000,2,16,2159,14883,32724,2019-01-06,03:04
20000,34,28,34960,29522,14562,2019-01-06,03:03
20000,41,42,42450,46348,23898,2019-01-06,03:02
20000,4,48,3613,48499,64886,2019-01-06,03:01
20000,38,39,43456,39700,16244,2019-01-06,03:00
20000,22,34,22354,34993,32639,2019-01-06,02:59
20000,23,29,23487,28698,25211,2019-01-06,02:58
20000,28,24,27111,23396,16285,2019-01-06,02:57
20000,14,32,14748,34314,39566,2019-01-06,02:56
20000,17,30,18857,32670,33813,2019-01-06,02:55
20000,25,11,25425,9835,4410,2019-01-06,02:54
20000,1,39,1284,43489,62205,2019-01-06,02:53
20000,12,17,10642,16041,25399,2019-01-06,02:52
20000,18,29,18485,23933,25448,2019-01-06,02:51
20000,21,12,18386,10224,11838,2019-01-06,02:50
20000,31,11,27917,9675,1758,2019-01-06,02:49
20000,24,28,25299,33566,28267,2019-01-06,02:48
20000,34,11,31984,10542,-1442,2019-01-06,02:47
20000,42,9,46714,11848,-14866,2019-01-06,02:46
20000,34,28,35973,31651,15678,2019-01-06,02:45
20000,10,1,11778,1345,9567,2019-01-06,02:44
20000,2,20,3417,20824,37407,2019-01-06,02:43
20000,30,40,26639,36140,29501,2019-01-06,02:42
20000,23,15,21842,15585,13743,2019-01-06,02:41
20000,49,25,64002,24361,-19641,2019-01-06,02:40
20000,7,38,7677,31878,44201,2019-01-06,02:39
20000,12,0,10589,0,9411,2019-01-06,02:38
20000,25,43,23745,43235,39490,2019-01-06,02:37
20000,0,9,0,8700,28700,2019-01-06,02:36
20000,48,18,50121,19524,-10597,2019-01-06,02:35
20000,35,10,32810,10623,-2187,2019-01-06,02:34
20000,40,43,43853,42858,19005,2019-01-06,02:33
20000,46,49,53062,48147,15085,2019-01-06,02:32
20000,30,10,25640,14247,8607,2019-01-06,02:31
20000,23,22,23293,24792,21499,2019-01-06,02:30
20000,11,18,11123,20155,29032,2019-01-06,02:29
20000,14,29,16555,27486,30931,2019-01-06,02:28
20000,20,40,18365,41672,43307,2019-01-06,02:27
20000,24,36,26510,38826,32316,2019-01-06,02:26
20000,27,35,27048,32078,25030,2019-01-06,02:25
20000,32,39,35605,42161,26556,2019-01-06,02:24
20000,27,6,32304,5555,-6749,2019-01-06,02:23
20000,39,26,34413,22492,8079,2019-01-06,02:22
20000,14,30,16713,35178,38465,2019-01-06,02:21
20000,18,36,14408,42945,48537,2019-01-06,02:20
20000,43,1,50525,646,-29879,2019-01-06,02:19
20000,34,28,30939,24461,13522,2019-01-06,02:18
20000,49,49,50173,51814,21641,2019-01-06,02:17
20000,19,21,18533,21601,23068,2019-01-06,02:16
20000,33,8,25494,11652,6158,2019-01-06,02:15
20000,18,3,17522,3061,5539,2019-01-06,02:14
20000,46,9,52894,12200,-20694,2019-01-06,02:13
20000,3,18,3274,19186,35912,2019-01-06,02:12
20000,6,21,3338,22281,38943,2019-01-06,02:11
20000,20,42,21538,42085,40547,2019-01-06,02:10
20000,24,3,26436,1732,-4704,2019-01-06,02:09
20000,33,0,29362,0,-9362,2019-01-06,02:08
20000,47,36,49859,31751,1892,2019-01-06,02:07
20000,18,20,20102,22578,22476,2019-01-06,02:06
20000,18,34,16258,36049,39791,2019-01-06,02:05
20000,42,44,43880,39424,15544,2019-01-06,02:04
20000,20,2,21274,611,-663,2019-01-06,02:03
20000,23,36,25107,40770,35663,2019-01-06,02:02
20000,46,18,53238,15649,-17589,2019-01-06,02:01
20000,35,29,38741,29898,11157,2019-01-06,02:00
20000,43,44,48409,50212,21803,2019-01-06,01:59
20000,6,48,2869,49849,66980,2019-01-06,01:58
20000,40,31,43244,33919,10675,2019-01-06,01:57
20000,1,33,1088,32368,51280,2019-01-06,01:56
20000,21,6,22169,5045,2876,2019-01-06,01:55
20000,6,3,7525,3810,16285,2019-01-06,01:54
20000,44,34,42616,32566,9950,2019-01-06,01:53
20000,34,46,31897,45270,33373,2019-01-06,01:52
20000,38,31,36970,31682,14712,2019-01-06,01:51
20000,43,36,44398,40708,16310,2019-01-06,01:50
20000,9,46,9038,41624,52586,2019-01-06,01:49
20000,21,17,24951,18818,13867,2019-01-06,01:48
20000,27,7,31998,6010,-5988,2019-01-06,01:47
20000,4,10,3596,9872,26276,2019-01-06,01:46
20000,43,9,44932,9149,-15783,2019-01-06,01:45
20000,42,34,40610,33028,12418,2019-01-06,01:44
20000,22,14,24142,13183,9041,2019-01-06,01:43
20000,11,18,10379,16769,26390,2019-01-06,01:42
20000,16,5,15342,6489,11147,2019-01-06,01:41
20000,0,0,0,0,20000,2019-01-06,01:40
20000,36,27,38169,30389,12220,2019-01-06,01:39
20000,14,20,14483,21672,27189,2019-01-06,01:38
20000,0,27,0,21434,41434,2019-01-06,01:37
20000,45,20,45611,20731,-4880,2019-01-06,01:36
20000,37,39,36331,37516,21185,2019-01-06,01:35
20000,1,6,1598,7738,26140,2019-01-06,01:34
20000,36,13,36340,14012,-2328,2019-01-06,01:33
20000,40,9,41728,9294,-12434,2019-01-06,01:32
20000,11,28,9669,27698,38029,2019-01-06,01:31
20000,6,2,5765,1264,15499,2019-01-06,01:30
20000,1,31,1669,29459,47790,2019-01-06,01:29
20000,29,2,28982,2338,-6644,2019-01-06,01:28
20000,11,23,12040,23007,30967,2019-01-06,01:27
20000,24,35,26036,36093,30057,2019-01-06,01:26
20000,46,21,44271,21459,-2812,2019-01-06,01:25
20000,43,41,42698,44111,21413,2019-01-06,01:24
20000,49,44,51419,40409,8990,2019-01-06,01:23
20000,2,2,2087,1496,19409,2019-01-06,01:22
20000,19,22,18516,25505,26989,2019-01-06,01:21
20000,9,8,10506,9037,18531,2019-01-06,01:20
20000,47,20,44001,23669,-332,2019-01-06,01:19
20000,1,27,1624,31223,49599,2019-01-06,01:18
20000,9,46,9540,48565,59025,2019-01-06,01:17
20000,24,17,24566,16661,12095,2019-01-06,01:16
20000,3,14,2566,15828,33262,2019-01-06,01:15
20000,5,19,4361,20878,36517,2019-01-06,01:14
20000,31,9,38409,10122,-8287,2019-01-06,01:13
20000,42,15,38012,15626,-2386,2019-01-06,01:12
20000,0,29,0,31997,51997,2019-01-06,01:11
20000,18,36,19482,29768,30286,2019-01-06,01:10
20000,3,1,3229,343,17114,2019-01-06,01:09
20000,22,10,22202,10638,8436,2019-01-06,01:08
20000,48,47,44227,44996,20769,2019-01-06,01:07
20000,48,40,52444,48047,15603,2019-01-06,01:06
20000,36,11,30543,11190,647,2019-01-06,01:05
20000,33,48,29021,46477,37456,2019-01-06,01:04
20000,46,11,45323,12512,-12811,2019-01-06,01:03
20000,34,24,37979,23869,5890,2019-01-06,01:02
20000,14,30,16638,32233,35595,2019-01-06,01:01
20000,10,36,10674,35419,44745,2019-01-06,01:00
20000,48,3,48303,3493,-24810,2019-01-06,00:59
20000,3,47,2950,43774,60824,2019-01-06,00:58
20000,28,10,29283,7754,-1529,2019-01-06,00:57
20000,40,30,43621,29449,5828,2019-01-06,00:56
20000,1,23,725,22152,41427,2019-01-06,00:55
20000,21,49,25981,51812,45831,2019-01-06,00:54
20000,44,23,50863,24279,-6584,2019-01-06,00:53
20000,27,45,22558,51882,49324,2019-01-06,00:52
20000,19,20,19833,17740,17907,2019-01-06,00:51
20000,48,0,46836,0,-26836,2019-01-06,00:50
20000,17,14,16667,16678,20011,2019-01-06,00:49
20000,37,44,38039,41793,23754,2019-01-06,00:48
20000,34,30,32650,28066,15416,2019-01-06,00:47
20000,27,48,26374,47309,40935,2019-01-06,00:46
20000,28,23,31356,17443,6087,2019-01-06,00:45
20000,25,44,24082,41893,37811,2019-01-06,00:44
20000,2,34,1722,33784,52062,2019-01-06,00:43
20000,16,49,13603,52466,58863,2019-01-06,00:42
20000,27,14,31815,13338,1523,2019-01-06,00:41
20000,3,41,4117,42306,58189,2019-01-06,00:40
20000,6,23,4807,22971,38164,2019-01-06,00:39
20000,3,33,3090,27984,44894,2019-01-06,00:38
20000,40,13,40104,11805,-8299,2019-01-06,00:37
20000,45,19,42802,16868,-5934,2019-01-06,00:36
20000,48,2,42042,2287,-19755,2019-01-06,00:35
20000,30,16,29931,16571,6640,2019-01-06,00:34
20000,31,35,38068,39190,21122,2019-01-06,00:33
20000,2,20,3503,22965,39462,2019-01-06,00:32
20000,1,42,848,41764,60916,2019-01-06,00:31
20000,32,10,33500,11366,-2134,2019-01-06,00:30
20000,33,44,38039,49753,31714,2019-01-06,00:29
20000,26,12,27570,13455,5885,2019-01-06,00:28
20000,9,34,9777,38952,49175,2019-01-06,00:27
20000,44,41,41930,41617,19687,2019-01-06,00:26
20000,19,30,21201,32542,31341,2019-01-06,00:25
20000,5,19,7563,18292,30729,2019-01-06,00:24
20000,41,6,45802,6813,-18989,2019-01-06,00:23
20000,48,16,53934,14285,-19649,2019-01-06,00:22
20000,33,34,33255,39450,26195,2019-01-06,00:21
20000,45,47,41177,50868,29691,2019-01-06,00:20
20000,0,28,0,28059,48059,2019-01-06,00:19
20000,38,15,39553,17644,-1909,2019-01-06,00:18
20000,33,25,36218,26626,10408,2019-01-06,00:17
20000,17,16,18305,17685,19380,2019-01-06,00:16
20000,9,0,11583,0,8417,2019-01-06,00:15
20000,15,3,18260,4004,5744,2019-01-06,00:14
20000,44,25,42879,24175,1296,2019-01-06,00:13
20000,44,35,46640,38090,11450,2019-01-06,00:12
20000,28,41,31425,36950,25525,2019-01-06,00:11
20000,35,43,33373,45561,32188,2019-01-06,00:10
20000,23,8,24147,7840,3693,2019-01-06,00:09
20000,33,12,33526,12720,-806,2019-01-06,00:08
20000,4,46,1680,53070,71390,2019-01-06,00:07
20000,21,15,19243,13145,13902,2019-01-06,00:06
20000,23,9,21342,10664,9322,2019-01-06,00:05
20000,18,8,18694,8234,9540,2019-01-06,00:04
20000,31,24,33440,26272,12832,2019-01-06,00:03
20000,1,15,1201,17118,35917,2019-01-06,00:02
20000,34,25,32458,23136,10678,2019-01-06,00:01
20000,16,35,18630,39834,41204,2019-01-06,00:00
20000,10,43,9891,36746,46855,2019-01-06,23:59
20000,29,47,29071,53528,44457,2019-01-06,23:58
20000,35,37,36675,38310,21635,2019-01-06,23:57
20000,31,5,28879,3566,-5313,2019-01-06,23:56
20000,30,19,31814,23475,11661,2019-01-06,23:55
20000,7,40,6596,42092,55496,2019-01-06,23:54
20000,48,34,49434,31700,2266,2019-01-06,23:53
20000,6,25,4876,25119,40243,2019-01-06,23:52
20000,13,35,11743,33160,41417,2019-01-06,23:51
20000,28,14,31277,12666,1389,2019-01-06,23:50
20000,0,23,0,28314,48314,2019-01-06,23:49
20000,35,17,34857,17525,2668,2019-01-06,23:48
20000,2,12,3031,11190,28159,2019-01-06,23:47
20000,40,17,42780,14599,-8181,2019-01-06,23:46
20000,22,11,18704,11400,12696,2019-01-06,23:45
20000,22,18,17341,19004,21663,2019-01-06,23:44
20000,23,20,23654,19076,15422,2019-01-06,23:43
20000,36,28,34406,30158,15752,2019-01-06,23:42
20000,16,26,16915,21536,24621,2019-01-06,23:41
20000,26,39,28664,43510,34846,2019-01-06,23:40
20000,15,18,12750,17816,25066,2019-01-06,23:39
20000,16,41,11507,39374,47867,2019-01-06,23:38
20000,25,14,21519,12710,11191,2019-01-06,23:37
20000,31,46,36470,51419,34949,2019-01-06,23:36
20000,35,25,38806,27418,8612,2019-01-06,23:35
20000,1,20,541,15319,34778,2019-01-06,23:34
20000,28,35,28980,32085,23105,2019-01-06,23:33
20000,11,30,10669,30547,39878,2019-01-06,23:32
20000,27,10,27014,11717,4703,2019-01-06,23:31
20000,13,47,11531,51270,59739,2019-01-06,23:30
20000,48,31,47841,25676,-2165,2019-01-06,23:29
20000,21,15,19840,14816,14976,2019-01-06,23:28
20000,25,20,26371,20572,14201,2019-01-06,23:27
20000,32,10,30307,12269,1962,2019-01-06,23:26
20000,28,21,29317,20502,11185,2019-01-06,23:25
20000,48,2,48147,3401,-24746,2019-01-06,23:24
20000,40,35,47909,33255,5346,2019-01-06,23:23
20000,1,39,531,43888,63357,2019-01-06,23:22
20000,38,45,43318,38113,14795,2019-01-06,23:21
20000,2,41,2203,45051,62848,2019-01-06,23:20
20000,42,11,40468,11286,-9182,2019-01-06,23:19
20000,7,30,5741,28501,42760,2019-01-06,23:18
20000,48,14,53348,15072,-18276,2019-01-06,23:17
20000,47,7,47265,8227,-19038,2019-01-06,23:16
20000,20,39,17268,32640,35372,2019-01-06,23:15
20000,34,35,34997,44064,29067,2019-01-06,23:14
20000,47,46,43015,41855,18840,2019-01-06,23:13
20000,9,36,12311,42867,50556,2019-01-06,23:12
20000,6,27,5478,24633,39155,2019-01-06,23:11
20000,41,41,46942,42106,15164,2019-01-06,23:10
20000,9,25,7768,27157,39389,2019-01-06,23:09
20000,12,40,13542,40629,47087,2019-01-06,23:08
20000,48,34,49404,31678,2274,2019-01-06,23:07
20000,21,22,27810,24488,16678,2019-01-06,23:06
20000,43,44,44363,43615,19252,2019-01-06,23:05
20000,20,13,17396,13439,16043,2019-01-06,23:04
20000,13,1,12093,1660,9567,2019-01-06,23:03
20000,1,31,936,37838,56902,2019-01-06,23:02
20000,37,5,37350,4172,-13178,2019-01-06,23:01
20000,26,33,23898,33780,29882,2019-01-06,23:00
20000,5,10,7310,9962,22652,2019-01-06,22:59
20000,40,46,42290,50811,28521,2019-01-06,22:58
20000,23,18,24808,15410,10602,2019-01-06,22:57
20000,29,14,32179,16186,4007,2019-01-06,22:56
20000,22,8,19695,8784,9089,2019-01-06,22:55
20000,7,28,6601,26679,40078,2019-01-06,22:54
20000,48,34,46237,37441,11204,2019-01-06,22:53
20000,2,17,1352,15250,33898,2019-01-06,22:52
20000,18,4,18191,6410,8219,2019-01-06,22:51
20000,15,34,14769,30128,35359,2019-01-06,22:50
20000,1,8,975,8803,27828,2019-01-06,22:49
20000,17,49,20695,49898,49203,2019-01-06,22:48
20000,26,17,27568,22355,14787,2019-01-06,22:47
20000,13,35,8433,38387,49954,2019-01-06,22:46
20000,1,1,1717,1910,20193,2019-01-06,22:45
20000,13,36,15019,35851,40832,2019-01-06,22:44
20000,30,20,33450,17644,4194,2019-01-06,22:43
20000,9,24,7017,20790,33773,2019-01-06,22:42
20000,47,24,54354,25037,-9317,2019-01-06,22:41
20000,28,5,33420,3757,-9663,2019-01-06,22:40
20000,48,33,46358,38858,12500,2019-01-06,22:39
20000,2,23,3292,20586,37294,2019-01-06,22:38
20000,29,34,28586,36673,28087,2019-01-06,22:37
20000,32,6,30914,4305,-6609,2019-01-06,22:36
20000,34,7,39026,6607,-12419,2019-01-06,22:35
20000,34,43,31248,43388,32140,2019-01-06,22:34
20000,41,16,41975,14569,-7406,2019-01-06,22:33
20000,0,35,0,33843,53843,2019-01-06,22:32
20000,18,8,25329,6557,1228,2019-01-06,22:31
20000,35,27,34968,21348,6380,2019-01-06,22:30
20000,0,9,0,7825,27825,2019-01-06,22:29
20000,21,45,24395,46923,42528,2019-01-06,22:28
20000,12,49,14266,52918,58652,2019-01-06,22:27
20000,31,37,28011,32301,24290,2019-01-06,22:26
20000,28,21,24579,19907,15328,2019-01-06,22:25
20000,13,6,10999,5651,14652,2019-01-06,22:24
20000,2,1,1679,145,18466,2019-01-06,22:23
20000,17,10,16944,8811,11867,2019-01-06,22:22
20000,28,15,35712,17405,1693,2019-01-06,22:21
20000,12,1,12161,1632,9471,2019-01-06,22:20
20000,39,35,42199,36369,14170,2019-01-06,22:19
20000,6,23,4425,23499,39074,2019-01-06,22:18
20000,5,43,6213,49730,63517,2019-01-06,22:17
20000,13,38,13415,45890,52475,2019-01-06,22:16
20000,1,18,1713,22879,41166,2019-01-06,22:15
20000,38,1,39833,1654,-18179,2019-01-06,22:14
20000,33,39,35302,35963,20661,2019-01-06,22:13
20000,27,7,29081,8736,-345,2019-01-06,22:12
20000,37,3,42859,4265,-18594,2019-01-06,22:11
20000,42,29,43237,25797,2560,2019-01-06,22:10
20000,13,3,11956,3292,11336,2019-01-06,22:09
20000,41,38,42481,42091,19610,2019-01-06,22:08
20000,12,38,11929,30886,38957,2019-01-06,22:07
20000,40,18,40174,10358,-9816,2019-01-06,22:06
20000,17,39,14211,33676,39465,2019-01-06,22:05
20000,48,44,48662,49834,21172,2019-01-06,22:04
20000,42,27,45358,26602,1244,2019-01-06,22:03
20000,35,12,34151,15947,1796,2019-01-06,22:02
20000,1,42,726,38879,58153,2019-01-06,22:01
20000,37,49,41196,48535,27339,2019-01-06,22:00
20000,39,40,38277,41777,23500,2019-01-06,21:59
20000,45,16,44444,18282,-6162,2019-01-06,21:58
20000,26,17,26362,17249,10887,2019-01-06,21:57
20000,0,44,0,44604,64604,2019-01-06,21:56
20000,13,31,13444,29739,36295,2019-01-06,21:55
20000,41,33,37418,36751,19333,2019-01-06,21:54
20000,41,25,38707,28530,9823,2019-01-06,21:53
20000,2,8,551,6390,25839,2019-01-06,21:52
20000,37,11,38455,9753,-8702,2019-01-06,21:51
20000,35,9,35866,8332,-7534,2019-01-06,21:50
20000,6,4,7151,4442,17291,2019-01-06,21:49
20000,3,28,2999,31960,48961,2019-01-06,21:48
20000,19,9,19988,8544,8556,2019-01-06,21:47
20000,22,26,20606,25343,24737,2019-01-06,21:46
20000,8,16,6792,19033,32241,2019-01-06,21:45
20000,31,25,35200,20182,4982,2019-01-06,21:44
20000,8,41,8857,37753,48896,2019-01-06,21:43
20000,37,15,32951,17117,4166,2019-01-06,21:42
20000,28,32,32794,33670,20876,2019-01-06,21:41
20000,47,35,44943,42669,17726,2019-01-06,21:40
20000,32,9,38226,10346,-7880,2019-01-06,21:39
20000,22,35,23805,34103,30298,2019-01-06,21:38
20000,11,44,10288,51483,61195,2019-01-06,21:37
20000,33,29,33147,31338,18191,2019-01-06,21:36
20000,7,4,5435,4449,19014,2019-01-06,21:35
20000,40,9,40441,11528,-8913,2019-01-06,21:34
20000,38,23,40854,22442,1588,2019-01-06,21:33
20000,23,30,23082,32291,29209,2019-01-06,21:32
20000,36,2,34275,783,-13492,2019-01-06,21:31
20000,27,49,29955,53121,43166,2019-01-06,21:30
20000,18,25,19521,23314,23793,2019-01-06,21:29
20000,10,25,4302,28600,44298,2019-01-06,21:28
20000,45,9,45492,8019,-17473,2019-01-06,21:27
20000,39,18,42547,17386,-5161,2019-01-06,21:26
20000,43,32,43163,33022,9859,2019-01-06,21:25
20000,23,13,23627,10327,6700,2019-01-06,21:24
20000,24,8,24703,7976,3273,2019-01-06,21:23
20000,3,25,3592,24284,40692,2019-01-06,21:22
20000,25,28,26830,25326,18496,2019-01-06,21:21
20000,39,41,38814,41722,22908,2019-01-06,21:20
20000,41,38,36128,40303,24175,2019-01-06,21:19
20000,35,31,35697,28495,12798,2019-01-06,21:18
20000,35,32,35016,30208,15192,2019-01-06,21:17
20000,46,22,44396,18463,-5933,2019-01-06,21:16
20000,39,21,39743,18142,-1601,2019-01-06,21:15
20000,3,6,4536,5920,21384,2019-01-06,21:14
20000,31,15,27955,16045,8090,2019-01-06,21:13
20000,4,4,4755,3924,19169,2019-01-06,21:12
20000,29,48,28036,49416,41380,2019-01-06,21:11
20000,8,24,5495,24083,38588,2019-01-06,21:10
20000,3,20,2701,19512,36811,2019-01-06,21:09
20000,41,42,39961,40995,21034,2019-01-06,21:08
20000,15,4,13869,4939,11070,2019-01-06,21:07
20000,26,0,23663,0,-3663,2019-01-06,21:06
20000,6,25,7018,25993,38975,2019-01-06,21:05
20000,47,35,52284,36244,3960,2019-01-06,21:04
20000,31,47,31096,55513,44417,2019-01-06,21:03
20000,31,17,29743,21212,11469,2019-01-06,21:02
20000,0,25,0,27309,47309,2019-01-06,21:01
20000,46,34,39650,29986,10336,2019-01-06,21:00
20000,7,49,7995,49965,61970,2019-01-06,20:59
20000,44,47,43024,43460,20436,2019-01-06,20:58
20000,46,15,39667,15713,-3954,2019-01-06,20:57
20000,17,35,16213,39764,43551,2019-01-06,20:56
20000,19,20,21680,25580,23900,2019-01-06,20:55
20000,10,39,7378,45341,57963,2019-01-06,20:54
20000,1,32,516,31676,51160,2019-01-06,20:53
20000,3,8,891,10384,29493,2019-01-06,20:52
20000,4,27,2939,25522,42583,2019-01-06,20:51
20000,20,1,23233,672,-2561,2019-01-06,20:50
20000,2,29,2421,28542,46121,2019-01-06,20:49
20000,26,17,29661,11734,2073,2019-01-06,20:48
20000,40,38,35324,42136,26812,2019-01-06,20:47
20000,0,7,0,7591,27591,2019-01-06,20:46
20000,30,29,31757,27140,15383,2019-01-06,20:45
20000,28,13,24299,16447,12148,2019-01-06,20:44
20000,45,21,46010,21127,-4883,2019-01-06,20:43
20000,39,39,34416,33559,19143,2019-01-06,20:42
20000,46,13,44293,10598,-13695,2019-01-06,20:41
20000,28,43,29253,42128,32875,2019-01-06,20:40
20000,27,30,24843,27081,22238,2019-01-06,20:39
20000,4,16,1970,15538,33568,2019-01-06,20:38
20000,47,40,47921,40577,12656,2019-01-06,20:37
20000,37,35,32070,34420,22350,2019-01-06,20:36
20000,42,18,39428,20880,1452,2019-01-06,20:35
20000,12,39,13946,40164,46218,2019-01-06,20:34
20000,3,37,2097,33457,51360,2019-01-06,20:33
20000,36,14,35631,14201,-1430,2019-01-06,20:32
20000,35,14,37778,14075,-3703,2019-01-06,20:31
20000,33,12,31832,8217,-3615,2019-01-06,20:30
20000,22,22,24236,16328,12092,2019-01-06,20:29
20000,34,38,41138,42848,21710,2019-01-06,20:28
20000,30,38,33711,36638,22927,2019-01-06,20:27
20000,42,41,38541,47047,28506,2019-01-06,20:26
20000,32,36,27914,37800,29886,2019-01-06,20:25
20000,21,32,19664,30469,30805,2019-01-06,20:24
20000,35,29,30704,28562,17858,2019-01-06,20:23
20000,47,8,50418,7603,-22815,2019-01-06,20:22
20000,19,22,21785,19704,17919,2019-01-06,20:21
20000,17,18,19395,14668,15273,2019-01-06,20:20
20000,24,13,26686,11098,4412,2019-01-06,20:19
20000,3,16,3828,15675,31847,2019-01-06,20:18
20000,2,0,2349,0,17651,2019-01-06,20:17
20000,17,2,17382,2613,5231,2019-01-06,20:16
20000,23,3,26616,4725,-1891,2019-01-06,20:15
20000,18,20,21453,16369,14916,2019-01-06,20:14
20000,44,27,40685,31372,10687,2019-01-06,20:13
20000,15,9,17198,7276,10078,2019-01-06,20:12
20000,5,42,6798,45282,58484,2019-01-06,20:11
20000,45,10,51023,8068,-22955,2019-01-06,20:10
20000,5,20,5814,20412,34598,2019-01-06,20:09
20000,26,32,29427,35183,25756,2019-01-06,20:08
20000,47,20,45286,20582,-4704,2019-01-06,20:07
20000,49,4,51863,4909,-26954,2019-01-06,20:06
20000,19,21,18915,14315,15400,2019-01-06,20:05
20000,36,17,39232,20116,884,2019-01-06,20:04
20000,45,47,45852,39071,13219,2019-01-06,20:03
20000,17,0,16003,0,3997,2019-01-06,20:02
20000,2,3,1702,2202,20500,2019-01-06,20:01
20000,15,3,15831,3061,7230,2019-01-06,20:00
20000,18,9,21169,11027,9858,2019-01-06,19:59
20000,22,0,24499,0,-4499,2019-01-06,19:58
20000,6,18,7381,18699,31318,2019-01-06,19:57
20000,38,6,32298,4851,-7447,2019-01-06,19:56
20000,43,0,42966,0,-22966,2019-01-06,19:55
20000,28,4,27815,4331,-3484,2019-01-06,19:54
20000,14,19,15781,17190,21409,2019-01-06,19:53
20000,21,27,24177,27191,23014,2019-01-06,19:52
20000,43,49,43612,50977,27365,2019-01-06,19:51
20000,14,34,15349,34203,38854,2019-01-06,19:50
20000,8,44,7644,44654,57010,2019-01-06,19:49
20000,45,8,45467,9551,-15916,2019-01-06,19:48
20000,43,4,48862,4394,-24468,2019-01-06,19:47
20000,48,39,53097,33707,610,2019-01-06,19:46
20000,22,22,24796,23505,18709,2019-01-06,19:45
20000,9,44,8613,48085,59472,2019-01-06,19:44
20000,29,19,32165,18627,6462,2019-01-06,19:43
20000,31,42,30766,39516,28750,2019-01-06,19:42
20000,49,26,48261,25801,-2460,2019-01-06,19:41
20000,28,39,31754,39373,27619,2019-01-06,19:40
20000,1,25,1382,27515,46133,2019-01-06,19:39
20000,46,8,47392,11497,-15895,2019-01-06,19:38
20000,20,30,24183,33929,29746,2019-01-06,19:37
20000,7,8,6130,6291,20161,2019-01-06,19:36
20000,33,13,35626,14737,-889,2019-01-06,19:35
20000,36,28,34270,29694,15424,2019-01-06,19:34
20000,19,15,16752,12261,15509,2019-01-06,19:33
20000,29,21,32175,21685,9510,2019-01-06,19:32
20000,49,8,46968,9882,-17086,2019-01-06,19:31
20000,6,20,4151,21548,37397,2019-01-06,19:30
20000,8,13,8200,12269,24069,2019-01-06,19:29
20000,4,20,2360,22893,40533,2019-01-06,19:28
20000,10,7,13034,6595,13561,2019-01-06,19:27
20000,3,49,3776,49871,66095,2019-01-06,19:26
20000,21,36,20972,33166,32194,2019-01-06,19:25
20000,41,20,43714,22299,-1415,2019-01-06,19:24
20000,10,46,10212,51077,60865,2019-01-06,19:23
20000,45,6,42941,5203,-17738,2019-01-06,19:22
20000,29,47,35626,49270,33644,2019-01-06,19:21
20000,17,8,19436,8208,8772,2019-01-06,19:20
20000,1,11,102,12026,31924,2019-01-06,19:19
20000,18,31,19671,35359,35688,2019-01-06,19:18
20000,49,32,46023,33997,7974,2019-01-06,19:17
20000,5,42,3027,48490,65463,2019-01-06,19:16
20000,48,11,37196,13492,-3704,2019-01-06,19:15
20000,26,49,25518,50680,45162,2019-01-06,19:14
20000,25,3,23010,3256,246,2019-01-06,19:13
20000,3,10,4322,7037,22715,2019-01-06,19:12
20000,3,43,3092,43913,60821,2019-01-06,19:11
20000,27,33,28018,32034,24016,2019-01-06,19:10
20000,37,19,39118,16897,-2221,2019-01-06,19:09
20000,15,25,14211,25149,30938,2019-01-06,19:08
20000,23,46,24689,50625,45936,2019-01-06,19:07
20000,2,41,2095,46775,64680,2019-01-06,19:06
20000,16,1,16961,285,3324,2019-01-06,19:05
20000,19,27,25124,29587,24463,2019-01-06,19:04
20000,28,43,30761,47295,36534,2019-01-06,19:03
20000,36,23,41990,17270,-4720,2019-01-06,19:02
20000,46,40,45964,40579,14615,2019-01-06,19:01
20000,9,43,8393,44270,55877,2019-01-06,19:00
20000,48,46,47723,45653,17930,2019-01-06,18:59
20000,15,1,13937,1345,7408,2019-01-06,18:58
20000,4,47,4222,46978,62756,2019-01-06,18:57
20000,36,0,40582,0,-20582,2019-01-06,18:56
20000,45,47,40678,53890,33212,2019-01-06,18:55
20000,41,16,44770,17119,-7651,2019-01-06,18:54
20000,37,32,39485,34105,14620,2019-01-06,18:53
20000,29,29,28635,32342,23707,2019-01-06,18:52
20000,0,38,0,37137,57137,2019-01-06,18:51
20000,47,1,42998,375,-22623,2019-01-06,18:50
20000,4,46,5443,48286,62843,2019-01-06,18:49
20000,20,27,21506,26176,24670,2019-01-06,18:48
20000,24,10,25384,9312,3928,2019-01-06,18:47
20000,41,14,34767,18384,3617,2019-01-06,18:46
20000,8,3,7681,2886,15205,2019-01-06,18:45
20000,28,24,28237,21725,13488,2019-01-06,18:44
20000,6,45,6717,39634,52917,2019-01-06,18:43
